"id","suraId","verseID","ayahText","indoText","readText"
6221,112,1,قُلْ هُوَ اللّٰهُ اَحَدٌۚ,"Katakanlah (Muhammad), “Dialah Allah, Yang Maha Esa.",qul huwallāhu aḥad
6222,112,2,اَللّٰهُ الصَّمَدُۚ,Allah tempat meminta segala sesuatu.,allāhuṣ-ṣamad
6223,112,3,لَمْ يَلِدْ وَلَمْ يُوْلَدْۙ,"(Allah) tidak beranak dan tidak pula diperanakkan.",lam yalid wa lam yụlad
6224,112,4,وَلَمْ يَكُنْ لَّهٗ كُفُوًا اَحَدٌ,Dan tidak ada sesuatu yang setara dengan Dia.",wa lam yakul lahụ kufuwan aḥad
6225,113,1,قُلْ اَعُوْذُ بِرَبِّ الْفَلَقِۙ,"Katakanlah, “Aku berlindung kepada Tuhan yang menguasai subuh (fajar),",qul a'ụżu birabbil-falaq
6226,113,2,مِنْ شَرِّ مَا خَلَقَۙ,"dari kejahatan (makhluk yang) Dia ciptakan,",min syarri mā khalaq
6227,113,3,وَمِنْ شَرِّ غَاسِقٍ اِذَا وَقَبَۙ,"dan dari kejahatan malam apabila telah gelap gulita,",wa min syarri gāsiqin iżā waqab
6228,113,4,وَمِنْ شَرِّ النَّفّٰثٰتِ فِى الْعُقَدِۙ,"dan dari kejahatan (perempuan-perempuan) penyihir yang meniup pada buhul-buhul (talinya),",wa min syarrin-naffāṡāti fil-'uqad
6229,113,5,وَمِنْ شَرِّ حَاسِدٍ اِذَا حَسَدَ,dan dari kejahatan orang yang dengki apabila dia dengki.”,wa min syarri ḥāsidin iżā ḥasad
6230,114,1,قُلْ اَعُوْذُ بِرَبِّ النَّاسِۙ,"Katakanlah, “Aku berlindung kepada Tuhannya manusia,",qul a'ụżu birabbin-nās
6231,114,2,مَلِكِ النَّاسِۙ,"Raja manusia,",malikin-nās
6232,114,3,اِلٰهِ النَّاسِۙ,"sembahan manusia,",ilāhin-nās
6233,114,4,مِنْ شَرِّ الْوَسْوَاسِ ەۙ الْخَنَّاسِۖ,"dari kejahatan (bisikan) setan yang bersembunyi,",min syarril-waswāsil-khannās
6234,114,5,الَّذِيْ يُوَسْوِسُ فِيْ صُدُوْرِ النَّاسِۙ,"yang membisikkan (kejahatan) ke dalam dada manusia,",allażī yuwaswisu fī ṣudụrin-nās
6235,114,6,مِنَ الْجِنَّةِ وَالنَّاسِ,dari (golongan) jin dan manusia.”,minal-jinnati wan-nās
